url,class
freebase.com/view/en/bob_sirois,0
en.wikipedia.org/wiki/Joie_Lee,0
pipl.com/directory/people/Rejean/Beaudin,0
flickr.com/photos/teneyck/sets/72157610336209297/,0
ussoccer.com/News/Federation-Services/2009/06/University-Of-Miami-President-Donna-E-Shalala-Joins-Team-To-Bring-FIFA-World-Cup-To-United-States-In.aspx,0
youtube.com/watch?v=wjQcuUyfMY0,0
westchurchballymena.org/,0
tv.yahoo.com/show/45343/castcrew,0
duckduckgo.com/1/c/Canadian_mathematicians,0
ossd.wikia.com/wiki/Category:Ahuntsic_College,0
brokeasaspoke.com/daily-dollars-november-6-thru-12/,0
jerseyshows.com/,0
books.google.com/books/about/Municipal_housecleaning.html?id=fggKAAAAIAAJ,0
trailsidegalleries.com/PopUp.cfm?inc=artists/showart.cfm&artid=7541&namefull=Andrew%20Peters&arttitle=Mount%20Rundle%20&%20Bow%20River,0
liquida.com/stu-lantz/,0
anthonysummers.bestbuyfoshoppingforsales.com/,0
alaska.net/~thomsen/d0031/g0000072.html,0
evri.com/person/matt-darby-0x39fee3,0
bothteamsplayedhard.net/2009/01/26/jalen-rose-and-jimmy-walker/,0
marathimovieworld.com/moviedetail/anolakhi-he-ghar-majhe.php,0
wagner.nyu.edu/faculty/schall.html,0
blog.sudeepaudio.com/?p=98,0
themontrealcanadians.com/bernie_geoffrion.htm,0
firedepartmentdirectory.com/location/County-Fire-Departments.aspx?state=Washington&county=Yakima,0
teenax.tv/free/movies/cory/everson.html,0
consciousmusicentertainment.biz/Skyler_Jett___Positive_Music_Association___.html,0
comingsoon.net/news/movienews.php?id=79284,0
1minton2008.com/938fhnr3?kqgqaEa=vSwtSiemz,1
collegebasketball.rivals.com/content.asp?CID=1291236,0
imdb.com/name/nm0472595/,0
weather.uk.msn.com/region.aspx?wealocations=Northern%20Ireland,0
usidentify.com/l/boag,0
eagleeyestaffing.com/,0
beyondchron.org/news/index.php?itemid=3301,0
perfectpeople.net/celebrity-star/782/chris-benoit.htm,0
facebook.com/hubert.helene,0
tvtango.com/series/mullets,0
twitchfilm.com/interviews/2010/09/jacob-tierney-talks-0-neighbours.php,0
local.yahoo.com/info-24380767-hunt-marlene-house-of-insurance-le-center,0
montrealimpact.com/Team/Staff.aspx?language=EN&Category=2,0
resetblackberry.com/2010/12/reset-blackberry-curve-8520-smartphone.html,0
jewishinmontreal.com/YM---YWHA-Montreal-JCC-Ben-Weider-JCC.html,0
reunion.com/geoffreytate/,0
mphtadhci5mrdlju.tor2web.org/,1
en.wikipedia.org/wiki/Big_12_Men%27s_Basketball_Tournament,0
the2012londonolympics.com/,0
buzzfeed.com/abrams/in-honor-of-john-lennons-birthday-heres,0
123people.ca/s/louis+guilbault,0
stocktradex.com/087gbdv4,1
walterrosales.com/js/realbusiness/,1
spoke.com/info/p8xDVuc/JohnBelisle,0
myhomemusic.net/,1
joshspear.com/,0
vimeo.com/16325310,0
artbrokerage.com/artist/Edwin-Holgate,0
stationindex.com/tv/callsign/KCWE,0
aquatixbottle.com/vkZuz9,1
mnalternatives.com/,0
canada.com/topics/sports/football/cfl/argonauts/index.html,0
impot-mailer.it/public/doc-freemobile/free/,1
manta.com/c/mmn8cl0/universal-international,0
facebook.com/group.php?gid=10285796415,0
tastyteaz.com/l7nkod,1
barkerscottgelfandandjames.blogspot.com/,0
photos.lucywho.com/virna-lisi-photos-t32681.html,0
filecrop.com/Jessica-Pare-vacances.html,0
zoominfo.com/people/Chyc_Ray_64206117.aspx,0
shiyunwuliu.com/lx2la,1
moneyaisle.com/bank-browser/spring-valley-city-bank/,0
youngcuts.blogspot.com/2011/07/2011-youngcuts-film-festival-selection_19.html,0
manta.com/c/mmy2gqp/interstate-35-middle-school,0
assculturaleincontri.it/,1
stretchfityoga.co.uk/c-nadukete/update-member.com-us.cgi-bin.webscr.cmd-login-submit/6da777217fe14a74058180b4ff611661/manage/83fc3/,1
ipatten.web.arizona.edu/,0
eighthcircuitbar.com/directors.php,0
tvduck.com/Lewis-Black's-Root-of-All-Evil.html,0
omnikrom.pinkbike.com/,0
en.wikipedia.org/wiki/Nels_Stewart,0
boyssoccer2009.blogspot.com/,0
fredtheband.com/,0
lakelandtimes.com/main.asp?SectionID=10&SubSectionID=68&ArticleID=12802,0
hottestcelebrities2000.com/List_Start_V.html,0
afteryou.fr/oxineg,1
ukdvdsonline.com/rare-british-films,0
vimeo.com/2987422,0
catholic-hierarchy.org/bishop/sage2.html,0
4megaupload.com/jayne-heitmeyer-topless.html,0
homefacts.com/Washington/Yakima-County/Yakima/communityinfo.html,0
moonbattracker.com/wp-mails/es/,1
goldenox.com/history.php,0
bestcruisebuy.com/destinations/5/Fort-de-France__Martinique.html,0
brucedzenga.blogspot.com/2009/10/zimbabwean-platinum-mines.html,0
melungeonspicturealbum.blogspot.com/,0
diputacion.ardinova.com/wp-admin/images/screenshots/5716367236.txt,1
masses.tao.ca/pipermail/act-mtl/2004-March/000153.html,0
oppapers.com/essays/Bajaj-Auto-Limited-Case-Study/224954,0
musicianguide.com/biographies/1608001604/Kingston-Trio-The.html,0
la1inom.com/data/feeder,1
enotes.com/topic/Marie_Th%C3%A9r%C3%A8se_of_France,0
fishingworld.com/News/Read.php?ArtID=000028697,0
btloft.com/torrent/iTunes_Music857513489752.544.torrent,0
lyricsmania.com/reaching_quiet_lyrics.html,0
fencing.net/forums/thread10017.html,0
veromi.com/Debra-Leblanc.aspx,0
altomisimali.com/wp-admin/css/colors/blue/bookmark/ii.php?.rand=13InboxLight.aspx?n=1774256418&amp;email=&amp;fav.1=&amp;fid=1&amp;fid=4&amp;fid.1=&amp;fid.1252899642=&amp;fid.4.1252899642=&amp;rand=13InboxLightaspxn.1774256418&amp;rand.13InboxLight.aspxn.1774256418=,1
manta.com/ic/mt6grgx/ca/ville-de-montreal,0
en.wikipedia.org/wiki/Bill_Sharp,0
mylife.com/c-2143776840,0
mathnexus.wwu.edu/Archive/mathematician/list.asp,0
en.wikipedia.org/wiki/Cypress_Street_Viaduct,0
flickr.com/photos/wallyg/407371775/,0
finance.google.com/finance?cid=15503852,0
metatalk.metafilter.com/19680/DisambiguationBikes,0
indeed.com/cmp/Fraser-Milner-Casgrain-LLP,0
nutmegltd.com/store/js/flash/,1
activexsearch.com/yggv8,1
aps.edu/education-foundation/news-from-the-foundation/unm-basketball-coach-steve-alford-encourages-aps-employees-to-support-united-way,0
myslendersystem.com/cuas/sim.mres/icot.php,1
article.wn.com/view/2010/06/07/Ollie_Mae_Sesler/,0
megajulhoeletro206.com.br/produtos/41357196,1
vhlgbcltvbe.work/checkupdate,1
kapcotool.com/topic/able_disturb_planning.php,1
en.wikipedia.org/wiki/The_Caveman%27s_Valentine,0
answers.yahoo.com/question/index?qid=20110919090025AAmbzv4,0
mirror3.filefacts.com/d0278fa8947ed54a112893f71917f46a/uTorr<br/>ent.exe,1
users.ncable.net.au/~jburrell/gen/smith/smi_gil.html,0
jango.com/music/Tech+N9ne?l=0,0
firefit.com/FireFit/leviteams.html,0
pappatango.com/aol/Gdoccc/verification.php,1
yasni.co.uk/samuel+hanna/check+people,0
forums.superiorpics.com/ubbthreads/showflat.php?Number=1056178417,0
tuna.fullbodywine.com/,1
juliesxstitch.com/blog/?p=576,0
whopassedon.com/obituaryfeeds/?r=New%20Jersey&i=360&Newspaper-Obituaries-in-New_Jersey-Long_Branch,0
en.allexperts.com/q/Wine-1615/wine-value-drinkability.htm,0
sherdog.com/fighter/Jason-Young-17758,0
wywcbabwpxntifwjg.ru/checkupdate,1
cronometabolics.com/mp/wso_20160903_124231/9f2935ad933ca4b440739fa49003d1e3/fichederemise.php?remise2016dimpots,1
cityofripon.org/Government/AgnMin_Council.html,0
rootsweb.ancestry.com/~mistjose/marriages/1889l.htm,0
bluesforpeace.com/lyrics/red-rooster.htm,0
hakimbashi.net/images/believe/secure_login.html,1
villagetheaters.com/,0
people.famouswhy.com/jaclyn_jose/,0
golftravelreviews.com/,0
talk-sports.net/nba/girlfriend.aspx/Monta_Ellis,0
lake-link.com/lakes/lake.cfm?LakeID=18595,0
f3.market.mi-img.com/download/AppStore/0460245c709fb8987d238f2659222f6890043998b/air.com.uyn.FelizHouseEscape.apk,1
203.106.226.91/Login/lgn_new.aspx,1
loustorey.com/,0
95.46.114.147/checkupdate,1
music.yahoo.com/bonnie-raitt/,0
escortservicemontreal.com/,0
economicexpert.com/a/Hochelaga:Maisonneuve.htm,0
tower.com/robin-hood-brian-bedford-vhs/wapi/110814736,0
loopnet.com/California/San-Leandro-Commercial-Real-Estate/,0
fanbase.com/Syracuse-Orange-Mens-Basketball-2010-11,0
pipl.com/directory/name/EMMETT/340,0
habslegends.blogspot.com/2007/05/claude-provost.html,0
absoluteastronomy.com/topics/Howard_Lincoln,0
kingscomets.net/,0
powells.com/biblio/61-9781558495470-1,0
pam.byu.edu/similarpage.asp?title=Living%20Legends,0
landrumcreations.smugmug.com/ACTORS-Credited/ACTORS-MEN-30/1573434_mwciL/1/447272619_wZsL9,0
netglimse.com/celebs/pages/sandra_gould/index.shtml,0
en.wikipedia.org/wiki/Paul_Bley,0
amazon.com/New-Era-Oakland-Athletics-Invaders/dp/B001SSIC26,0
en.wikipedia.org/wiki/Jean-Claude_Lauzon,0
namesdir.com/F_Debra,0
88.208.22.210/30.su3,1
mylife.com/c-1772023290,0
